# sampleTime, q_w, q_x, q_y, q_z, systemTime, omega_x, omega_y, omega_z, alpha_x, alpha_y, alpha_z, p_x, p_y, p_z, v_x, v_y, v_z, a_x, a_y, a_z
0.1923077, 1, 4.22613e-07, 6.5445668e-08, -2.5953773e-07, 0.1923076916369831, -4.0054611e-06, 1.589256e-06, 1.589255e-06, -1.7494049e-05, 9.4635843e-06, 9.4635798e-06, 0, 0, 0, 0, 0, 0, 5.0636208e-06, -9.5367432e-07, 7.3323063e-06
0.1923077, 1, 4.22613e-07, 6.5445668e-08, -2.5953773e-07, 0.1923076916369831, -4.0054611e-06, 1.589256e-06, 1.589255e-06, -1.7494049e-05, 9.4635843e-06, 9.4635798e-06, 0, 0, 0, 0, 0, 0, 5.0636208e-06, -9.5367432e-07, 7.3323063e-06
0.1923077, 1, 4.22613e-07, 6.5445668e-08, -2.5953773e-07, 0.1923076916369831, -4.0054611e-06, 1.589256e-06, 1.589255e-06, -1.7494049e-05, 9.4635843e-06, 9.4635798e-06, 0, 0, 0, 0, 0, 0, 5.0636208e-06, -9.5367432e-07, 7.3323063e-06
0.2019231, 1, 3.9397534e-07, 7.3426357e-08, -2.4515134e-07, 0.2019230783536497, -4.266833e-06, 1.730707e-06, 1.730706e-06, -1.9108929e-05, 1.0338189e-05, 1.0338188e-05, 0, 0, 0, 0, 0, 0, 5.3369972e-06, -9.5367432e-07, 7.7373479e-06
0.2019231, 1, 3.9397534e-07, 7.3426357e-08, -2.4515134e-07, 0.2019230783536497, -4.266833e-06, 1.730707e-06, 1.730706e-06, -1.9108929e-05, 1.0338189e-05, 1.0338188e-05, 0, 0, 0, 0, 0, 0, 5.3369972e-06, -9.5367432e-07, 7.7373479e-06
0.2019231, 1, 3.9397534e-07, 7.3426357e-08, -2.4515134e-07, 0.2019230783536497, -4.266833e-06, 1.730707e-06, 1.730706e-06, -1.9108929e-05, 1.0338189e-05, 1.0338188e-05, 0, 0, 0, 0, 0, 0, 5.3369972e-06, -9.5367432e-07, 7.7373479e-06
0.2115385, 1, 3.6364321e-07, 8.2107306e-08, -2.2971568e-07, 0.211538466327491, -4.5437341e-06, 1.880568e-06, 1.880567e-06, -2.0723812e-05, 1.1212799e-05, 1.1212795e-05, 0, 0, 0, 0, 0, 0, 5.6035256e-06, -9.5367432e-07, 8.1345297e-06
0.2115385, 1, 3.6364321e-07, 8.2107306e-08, -2.2971568e-07, 0.211538466327491, -4.5437341e-06, 1.880568e-06, 1.880567e-06, -2.0723812e-05, 1.1212799e-05, 1.1212795e-05, 0, 0, 0, 0, 0, 0, 5.6035256e-06, -9.5367432e-07, 8.1345297e-06
0.2115385, 1, 3.6364321e-07, 8.2107306e-08, -2.2971568e-07, 0.211538466327491, -4.5437341e-06, 1.880568e-06, 1.880567e-06, -2.0723812e-05, 1.1212799e-05, 1.1212795e-05, 0, 0, 0, 0, 0, 0, 5.6035256e-06, -9.5367432e-07, 8.1345297e-06
0.2211538, 1, 3.3156564e-07, 9.1528953e-08, -2.1321054e-07, 0.221153848208838, -4.836163e-06, 2.0388391e-06, 2.0388379e-06, -2.2338696e-05, 1.2087413e-05, 1.208741e-05, 0, 0, 0, 0, 0, 0, 5.8636033e-06, -9.5367432e-07, 8.5243173e-06
